accuracy,precision,recall,specificity,f1,roc_auc,pr_auc,log_loss,balanced_accuracy,mcc,brier_score,threshold,n,model,fold,training_seconds
0.998365345320801,0.9989949748743718,0.9969909729187563,0.9993103448275862,0.9979919678714859,0.9999868571230934,0.9999808564955137,0.007774694357067347,0.9981506588731712,0.9966150390658944,0.001511619659140706,0.5,2447,MLP,1,14.70074730000033
0.9995911692559281,0.9989969909729187,1.0,0.9993103448275862,0.9994982438534872,0.9999993075751281,0.9999989929628242,0.006477058865129948,0.9996551724137931,0.9991536556160261,0.0007731262012384832,0.5,2446,MLP,2,13.378726699999788
0.9979558462796402,0.9969909729187563,0.9979919678714859,0.9979310344827587,0.997491219267436,0.9999819969533307,0.9999736898586981,0.007325715851038694,0.9979615011771223,0.9957668442689999,0.0015316216740757227,0.5,2446,MLP,3,14.105498400000215
0.9995911692559281,0.9989969909729187,1.0,0.9993103448275862,0.9994982438534872,0.9999993075751281,0.9999989929628242,0.006094532087445259,0.9996551724137931,0.9991536556160261,0.0007793227559886873,0.5,2446,MLP,4,14.503940699999475
0.9991823385118561,0.9989969909729187,0.9989969909729187,0.9993098688750862,0.9989969909729187,0.9999771571443108,0.9999662908243916,0.00935544352978468,0.9991534299240025,0.998306859848005,0.0017360169440507889,0.5,2446,MLP,5,14.263660300000083
0.9934613812832039,0.9949545913218971,0.9889669007021064,0.996551724137931,0.9919517102615694,0.9998208418358524,0.9997469747204228,0.024983851239085197,0.9927593124200187,0.986458687202128,0.005966569297015667,0.5,2447,DNN,1,22.714271100000587
0.9946852003270646,0.9949647532729103,0.9919678714859438,0.996551724137931,0.9934640522875817,0.9998919817199834,0.9998433563606879,0.02215898223221302,0.9942597978119374,0.9889891379503601,0.005212103947997093,0.5,2446,DNN,2,23.090945400000237
0.9930498773507768,0.98998998998999,0.9929718875502008,0.993103448275862,0.9914786967418546,0.999824124082537,0.9997523166174846,0.024803387001156807,0.9930376679130315,0.98561375736429,0.005946055985987186,0.5,2446,DNN,3,23.66404799999964
0.991414554374489,0.9979570990806946,0.9809236947791165,0.9986206896551724,0.9893670886075949,0.9999286802381941,0.9998949616486572,0.02549310028553009,0.9897721922171444,0.9822711455559378,0.006175380665808916,0.5,2446,DNN,4,23.136925200000405
0.9856909239574816,0.9989626556016598,0.9658976930792377,0.9993098688750862,0.9821519632840388,0.9998809402673168,0.9998246700943499,0.032335150986909866,0.982603780977162,0.9705990655605298,0.008650070056319237,0.5,2446,DNN,5,23.877542400000493
0.9685328974254189,0.9732510288065843,0.9488465396188566,0.9820689655172414,0.9608938547486033,0.9972386123888908,0.9958994729770911,0.07958579063415527,0.965457752568049,0.9347870806490965,0.02212013117969036,0.5,2447,RBF,1,14.29373620000024
0.9697465249386754,0.9573412698412699,0.9688755020080321,0.9703448275862069,0.9630738522954092,0.9954971610580252,0.9931789592923079,0.09551390260457993,0.9696101647971195,0.9375003653327606,0.02607531100511551,0.5,2446,RBF,2,13.782246499999928
0.9746524938675388,0.9814432989690721,0.9558232931726908,0.9875862068965517,0.9684638860630722,0.9979227253842958,0.9969411955196611,0.07803197205066681,0.9717047500346212,0.9475123289944422,0.020303865894675255,0.5,2446,RBF,3,14.368466700000681
0.9766966475878986,0.974721941354904,0.9678714859437751,0.9827586206896551,0.9712846347607053,0.9974899598393574,0.9961545855273152,0.07940533757209778,0.9753150533167152,0.9516939599418343,0.021188147366046906,0.5,2446,RBF,4,13.960014999999657
0.9717906786590351,0.9783505154639175,0.9518555667001003,0.9855072463768116,0.9649211997966446,0.9976852572901589,0.996539017765298,0.07631133496761322,0.9686814065384559,0.9415869836801102,0.020736169070005417,0.5,2446,RBF,5,14.865602099999705
0.9591336330200245,0.9358600583090378,0.9658976930792377,0.9544827586206897,0.9506416584402764,0.992140559609864,0.9878003783420019,0.10658923536539078,0.9601902258499637,0.916121685462883,0.03178973123431206,0.5,2447,CNN_MLP,1,24.714789999999994
0.9529844644317252,0.9207258834765998,0.9678714859437751,0.9427586206896552,0.9437102300538424,0.9909648940589946,0.9862428864699226,0.11307644844055176,0.9553150533167152,0.9042186842548785,0.03519964963197708,0.5,2446,CNN_MLP,2,18.118886700000076
0.9697465249386754,0.9467054263565892,0.9809236947791165,0.9620689655172414,0.9635108481262328,0.9954407284309652,0.9930726360135748,0.0863889828324318,0.9714963301481789,0.9381179144729217,0.024464864283800125,0.5,2446,CNN_MLP,3,17.88356440000007
0.9615699100572364,0.9361702127659575,0.9718875502008032,0.9544827586206897,0.9536945812807882,0.9935282509347736,0.9902583565542289,0.09927870333194733,0.9631851544107464,0.9213415976947787,0.030138403177261353,0.5,2446,CNN_MLP,4,18.001632499999687
0.9623875715453802,0.9466929911154985,0.9618856569709128,0.9627329192546584,0.954228855721393,0.9939462971384824,0.9905721037047032,0.09454531222581863,0.9623092881127856,0.9223942106615953,0.028144218027591705,0.5,2446,CNN_MLP,5,18.43464539999968
0.9321618308132407,0.8923512747875354,0.9478435305917753,0.9213793103448276,0.919260700389105,0.9877549891052467,0.9831467444486558,0.14383666217327118,0.9346114204683014,0.8620252697636488,0.04457227513194084,0.5,2447,LSTM_MLP,1,35.21883849999995
0.946034341782502,0.9137931034482759,0.9578313253012049,0.9379310344827586,0.9352941176470588,0.9891670128791027,0.9835804980467706,0.13261139392852783,0.9478811798919817,0.8897791472925631,0.039434850215911865,0.5,2446,LSTM_MLP,2,34.10772350000025
0.9542109566639412,0.9464646464646465,0.9407630522088354,0.9634482758620689,0.9436052366565961,0.9927018418501592,0.9900127735839844,0.108799047768116,0.9521056640354522,0.9050765842671238,0.03327169641852379,0.5,2446,LSTM_MLP,3,29.948479200000293
0.9501226492232215,0.9242718446601942,0.9558232931726908,0.9462068965517242,0.9397828232971372,0.9898601301758759,0.9826141300603737,0.12516336143016815,0.9510150948622075,0.8976034317611636,0.0364246740937233,0.5,2446,LSTM_MLP,4,22.701005100000657
0.955846279640229,0.9396636993076162,0.9528585757271816,0.9579020013802623,0.9462151394422311,0.9915786005359072,0.9876615427909096,0.11646214872598648,0.9553802885537219,0.9088337934582428,0.03325458616018295,0.5,2446,LSTM_MLP,5,29.807897599999706
